CO2 EF,Flue CO Con,Load,Flue Gas / Fuel,Exhaust Temp,Design Steam Volume,Operating Pressure,Vaper / Fuel
1533.23346,0,0.87625,95.06611111,255,8,12,8.345238095
1533.23346,0,0.87625,95.06611111,255,8,12,8.345238095
1240.647303,0.1,95.85,78.79741667,150,20,5.2,7.9875
1278.821066,0.1,95.85,77.718,150,20,5.2,7.9875
1278.821066,0.1,95.85,77.718,150,20,5.2,7.9875
1061.355718,0.1,62.3,66.57056604,100,20,5.5,7.836477987
1119.247848,0.1,62.3,68.75320755,100,20,5.5,7.836477987
1119.247848,0.1,62.3,68.75320755,100,20,5.5,7.836477987
1047.347131,0.1,62.5,67.84575,108,20,5.6,7.8125
1104.475156,0.1,62.5,69.99958333,108,20,5.6,7.8125
1104.475156,0.1,62.5,69.99958333,108,20,5.6,7.8125
1070.201878,0.1,64,68.22583333,106,20,5.2,8
1089.660094,0.1,64,69.32625,106,20,5.2,8
1089.660094,0.1,64,69.32625,106,20,5.2,8
1109.427755,0.1,62.5,69.7125,106,20,5.6,7.8125
1109.427755,0.1,62.5,69.7125,106,20,5.6,7.8125
1109.427755,0.1,62.5,69.7125,106,20,5.6,7.8125
1087.77022,0.1,61.45,68.22734177,108,20,5.4,7.778481013
1166.880782,0.1,61.45,70.4643038,108,20,5.4,7.778481013
1166.880782,0.1,61.45,70.4643038,108,20,5.4,7.778481013
1218.091448,0.1,57.7,76.92324324,108,20,5.7,7.797297297
1218.091448,0.1,57.7,78.07135135,108,20,5.7,7.797297297
1218.091448,0.1,57.7,78.07135135,108,20,5.7,7.797297297
1196.891457,0.1,57.7,77.02378378,107,20,5.4,7.797297297
1176.255397,0.1,57.7,77.02378378,107,20,5.4,7.797297297
1176.255397,0.1,57.7,77.02378378,107,20,5.4,7.797297297
1219.400788,0.1,58.55,78.97093333,105,20,5.7,7.806666667
1160.397524,0.1,58.55,75.63413333,105,20,5.7,7.806666667
1160.397524,0.1,58.55,75.63413333,105,20,5.7,7.806666667
1186.941127,0.7,56.65,78.74261072,115,20,5.4,7.923076923
1164.115336,0.1,56.65,80.03347319,115,20,5.4,7.923076923
1164.115336,0.1,56.65,80.03347319,115,20,5.4,7.923076923
1238.205632,0.1,63.55,80.23583333,106,20,5.6,7.94375
1264.001583,0.1,63.55,80.23583333,106,20,5.6,7.94375
1264.001583,0.1,63.55,80.23583333,106,20,5.6,7.94375
1683.666454,0.1,53.95,107.5588808,123,20,6,7.875912409
1777.203479,0.1,53.95,105.7956204,123,20,6,7.875912409
1777.203479,0.1,53.95,105.7956204,123,20,6,7.875912409
1198.498698,0.1,0.967,76.25076923,80,10,5.2,7.438461538
1162.895706,0.1,0.979,74.34305764,82,10,5.5,7.360902256
1274.702496,0.1,0.908,81.49078261,80,10,5.3,7.895652174
1119.233061,0.1,81.13333333,76.13838703,100,15,13,7.687934302
1184.116137,0.1,81.13333333,80.72503685,100,15,13,7.687934302
1184.116137,0.1,81.13333333,80.72503685,100,15,13,7.687934302
1580.507381,0.1,85.35333333,95.63887223,110,15,9,7.680263947
1169.575462,0.1,85.35333333,95.63887223,110,15,9,7.680263947
1169.575462,0.1,85.35333333,95.63887223,110,15,9,7.680263947
1279.179936,0.1,80.28,78.59292142,126,15,12,7.223755249
1294.972281,0.1,80.28,77.69982004,126,15,12,7.223755249
1294.972281,0.1,80.28,77.69982004,126,15,12,7.223755249
1301.3757,0.1,80.83333333,78.85333333,130,15,10,8.083333333
1245.602456,0.1,80.83333333,78.85333333,130,15,10,8.083333333
1245.602456,0.1,80.83333333,78.85333333,130,15,10,8.083333333
1731.026469,0.1,81.13333333,103.3329778,130,15,10,8.113333333
1755.068503,0.1,81.13333333,95.17511111,130,15,10,8.113333333
1755.068503,0.1,81.13333333,95.17511111,130,15,10,8.113333333
1607.927355,0,81.13333333,98.84,130,15,10,8.113333333
1561.320765,0,81.13333333,100.1578667,130,15,10,8.113333333
1561.320765,0,81.13333333,100.1578667,130,15,10,8.113333333
1372.122561,0,81.13333333,83.97524444,130,15,10,8.113333333
1315.733963,0,81.13333333,44.64506667,130,15,10,8.113333333
1315.733963,0,81.13333333,44.64506667,130,15,10,8.113333333
1198.835544,0,81.13333333,75.77368889,130,15,10,8.113333333
1163.575675,0,81.13333333,76.77071111,130,15,10,8.113333333
1163.575675,0,81.13333333,76.77071111,130,15,10,8.113333333
1135.473718,0,80,70.14168889,130,15,6.9,8
1135.473718,0,80,64.21422222,130,15,6.9,8
1135.473718,0,80,64.21422222,130,15,6.9,8
